ff_id,Race_Cat
1,African American
2,African American
3,NA
4,African American
5,African American
6,Other
7,African American
8,NA
9,NA
10,NA
11,Latinx
12,NA
13,Latinx
14,NA
15,NA
16,African American
17,NA
18,NA
19,African American
20,NA
21,Other
22,African American
23,NA
24,Other
25,NA
26,African American
27,NA
28,African American
29,African American
30,Other
31,Latinx
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,Latinx
39,NA
40,NA
41,African American
42,African American
43,Other
44,NA
45,African American
46,NA
47,Latinx
48,Other
49,Latinx
50,NA
51,NA
52,African American
53,NA
54,Latinx
55,African American
56,NA
57,NA
58,Latinx
59,Latinx
60,NA
61,NA
62,NA
63,Latinx
64,NA
65,NA
66,African American
67,NA
68,African American
69,African American
70,African American
71,African American
72,NA
73,Other
74,Caucasian
75,African American
76,NA
77,African American
78,Caucasian
79,NA
80,NA
81,African American
82,Other
83,Other
84,Latinx
85,NA
86,Latinx
87,African American
88,Latinx
89,Latinx
90,NA
91,Latinx
92,NA
93,NA
94,NA
95,African American
96,African American
97,Caucasian
98,African American
99,NA
100,Other
101,Other
102,African American
103,NA
104,African American
105,African American
106,Latinx
107,Other
108,NA
109,Latinx
110,African American
111,NA
112,African American
113,NA
114,African American
115,NA
116,Other
117,African American
118,Latinx
119,NA
120,Caucasian
121,NA
122,NA
123,NA
124,NA
125,NA
126,African American
127,Latinx
128,African American
129,NA
130,African American
131,NA
132,African American
133,Latinx
134,NA
135,Latinx
136,Latinx
137,Latinx
138,NA
139,Latinx
140,NA
141,NA
142,NA
143,NA
144,African American
145,NA
146,Latinx
147,Latinx
148,African American
149,NA
150,NA
151,Latinx
152,NA
153,NA
154,NA
155,NA
156,Caucasian
157,NA
158,Latinx
159,Latinx
160,Latinx
161,NA
162,African American
163,NA
164,Latinx
165,African American
166,NA
167,African American
168,Latinx
169,NA
170,Other
171,Latinx
172,Latinx
173,Latinx
174,NA
175,African American
176,NA
177,NA
178,African American
179,African American
180,NA
181,African American
182,Latinx
183,NA
184,NA
185,Latinx
186,NA
187,African American
188,Latinx
189,NA
190,African American
191,Other
192,NA
193,NA
194,Latinx
195,Latinx
196,NA
197,Caucasian
198,African American
199,NA
200,African American
201,NA
202,African American
203,Caucasian
204,African American
205,African American
206,NA
207,African American
208,NA
209,African American
210,Other
211,African American
212,Latinx
213,NA
214,NA
215,NA
216,Latinx
217,Latinx
218,African American
219,African American
220,NA
221,NA
222,Latinx
223,NA
224,NA
225,NA
226,NA
227,Latinx
228,Latinx
229,NA
230,NA
231,African American
232,African American
233,NA
234,NA
235,NA
236,NA
237,African American
238,Other
239,Other
240,NA
241,NA
242,Latinx
243,African American
244,Caucasian
245,African American
246,Latinx
247,NA
248,African American
249,Latinx
250,African American
251,African American
252,Latinx
253,Latinx
254,African American
255,African American
256,NA
257,NA
258,NA
259,Latinx
260,NA
261,NA
262,NA
263,African American
264,NA
265,NA
266,NA
267,African American
268,NA
269,African American
270,NA
271,African American
272,African American
273,NA
274,Other
275,Latinx
276,African American
277,Latinx
278,Latinx
279,African American
280,African American
281,African American
282,NA
283,NA
284,NA
285,NA
286,NA
287,African American
288,African American
289,NA
290,NA
291,Latinx
292,African American
293,Latinx
294,Latinx
295,Latinx
296,Latinx
297,Latinx
298,Latinx
299,African American
300,NA
301,Caucasian
302,Latinx
303,NA
304,Latinx
305,Latinx
306,Latinx
307,Latinx
308,NA
309,NA
310,NA
311,NA
312,Latinx
313,Latinx
314,NA
315,Latinx
316,NA
317,NA
318,African American
319,Other
320,African American
321,African American
322,African American
323,NA
324,NA
325,Other
326,African American
327,African American
328,NA
329,NA
330,African American
331,African American
332,Caucasian
333,NA
334,African American
335,African American
336,African American
337,Other
338,NA
339,Caucasian
340,African American
341,NA
342,Latinx
343,Latinx
344,Latinx
345,NA
346,Caucasian
347,NA
348,African American
349,African American
350,NA
351,Other
352,NA
353,African American
354,African American
355,Caucasian
356,NA
357,Latinx
358,Latinx
359,NA
360,Caucasian
361,NA
362,NA
363,NA
364,African American
365,NA
366,Caucasian
367,Latinx
368,NA
369,Latinx
370,NA
371,Caucasian
372,NA
373,NA
374,NA
375,Latinx
376,Caucasian
377,NA
378,Caucasian
379,Latinx
380,Caucasian
381,Latinx
382,NA
383,Latinx
384,NA
385,Latinx
386,Latinx
387,NA
388,Latinx
389,African American
390,Latinx
391,Caucasian
392,Latinx
393,NA
394,NA
395,Caucasian
396,NA
397,Caucasian
398,African American
399,Caucasian
400,NA
401,African American
402,Caucasian
403,African American
404,Other
405,Latinx
406,NA
407,African American
408,African American
409,Caucasian
410,Latinx
411,Latinx
412,Latinx
413,Latinx
414,Latinx
415,Latinx
416,NA
417,Caucasian
418,NA
419,NA
420,NA
421,Latinx
422,NA
423,African American
424,NA
425,African American
426,Latinx
427,NA
428,Latinx
429,Caucasian
430,NA
431,NA
432,NA
433,NA
434,NA
435,Latinx
436,NA
437,Latinx
438,NA
439,African American
440,NA
441,African American
442,Caucasian
443,Latinx
444,African American
445,African American
446,Latinx
447,NA
448,Latinx
449,NA
450,Latinx
451,NA
452,African American
453,Latinx
454,Latinx
455,Latinx
456,NA
457,NA
458,African American
459,African American
460,Latinx
461,Latinx
462,African American
463,NA
464,Latinx
465,Other
466,NA
467,NA
468,NA
469,NA
470,Latinx
471,Caucasian
472,Latinx
473,Latinx
474,Caucasian
475,African American
476,NA
477,NA
478,Caucasian
479,Caucasian
480,African American
481,Caucasian
482,Caucasian
483,Caucasian
484,Caucasian
485,NA
486,NA
487,Latinx
488,NA
489,Latinx
490,NA
491,Caucasian
492,Caucasian
493,African American
494,NA
495,Caucasian
496,African American
497,NA
498,NA
499,Caucasian
500,NA
501,NA
502,NA
503,African American
504,Latinx
505,African American
506,African American
507,Latinx
508,NA
509,African American
510,African American
511,NA
512,Latinx
513,Caucasian
514,NA
515,Caucasian
516,NA
517,Latinx
518,African American
519,African American
520,NA
521,NA
522,Caucasian
523,NA
524,Latinx
525,African American
526,Caucasian
527,Caucasian
528,African American
529,NA
530,NA
531,NA
532,Latinx
533,African American
534,NA
535,Latinx
536,NA
537,NA
538,Caucasian
539,Caucasian
540,NA
541,Latinx
542,Latinx
543,NA
544,African American
545,NA
546,Caucasian
547,NA
548,African American
549,NA
550,African American
551,Latinx
552,Latinx
553,NA
554,NA
555,Latinx
556,NA
557,Latinx
558,Latinx
559,NA
560,African American
561,Latinx
562,Other
563,NA
564,Caucasian
565,Latinx
566,NA
567,African American
568,Caucasian
569,NA
570,Caucasian
571,Caucasian
572,NA
573,Caucasian
574,NA
575,African American
576,Caucasian
577,NA
578,Latinx
579,Latinx
580,NA
581,Latinx
582,Latinx
583,Latinx
584,Latinx
585,NA
586,Latinx
587,Latinx
588,Latinx
589,Latinx
590,NA
591,Latinx
592,NA
593,Latinx
594,NA
595,Latinx
596,Caucasian
597,NA
598,NA
599,NA
600,African American
601,African American
602,NA
603,Latinx
604,Latinx
605,African American
606,NA
607,NA
608,African American
609,Caucasian
610,Caucasian
611,NA
612,Caucasian
613,Latinx
614,Caucasian
615,NA
616,NA
617,Latinx
618,NA
619,Latinx
620,NA
621,NA
622,Latinx
623,Latinx
624,NA
625,African American
626,African American
627,Latinx
628,Latinx
629,NA
630,NA
631,NA
632,Latinx
633,NA
634,Latinx
635,African American
636,Latinx
637,NA
638,Other
639,NA
640,Latinx
641,NA
642,Latinx
643,Latinx
644,NA
645,NA
646,Latinx
647,African American
648,Latinx
649,African American
650,Latinx
651,Latinx
652,NA
653,Latinx
654,NA
655,NA
656,Latinx
657,African American
658,African American
659,African American
660,NA
661,African American
662,African American
663,Latinx
664,African American
665,Caucasian
666,African American
667,NA
668,NA
669,African American
670,NA
671,African American
672,African American
673,Caucasian
674,African American
675,Other
676,African American
677,African American
678,NA
679,African American
680,African American
681,African American
682,African American
683,NA
684,NA
685,African American
686,African American
687,African American
688,African American
689,NA
690,African American
691,African American
692,African American
693,NA
694,African American
695,NA
696,NA
697,African American
698,NA
699,African American
700,African American
701,African American
702,African American
703,African American
704,African American
705,NA
706,NA
707,NA
708,NA
709,NA
710,NA
711,African American
712,NA
713,NA
714,NA
715,African American
716,NA
717,African American
718,NA
719,African American
720,African American
721,African American
722,African American
723,Caucasian
724,Caucasian
725,NA
726,NA
727,Caucasian
728,NA
729,NA
730,NA
731,NA
732,NA
733,African American
734,African American
735,African American
736,NA
737,Other
738,NA
739,Other
740,Other
741,African American
742,Other
743,African American
744,Caucasian
745,NA
746,African American
747,African American
748,NA
749,African American
750,Other
751,African American
752,NA
753,African American
754,African American
755,NA
756,NA
757,NA
758,NA
759,Other
760,Caucasian
761,African American
762,African American
763,African American
764,African American
765,African American
766,NA
767,Other
768,African American
769,Latinx
770,Caucasian
771,Caucasian
772,African American
773,African American
774,African American
775,NA
776,NA
777,NA
778,NA
779,NA
780,African American
781,African American
782,Caucasian
783,Caucasian
784,African American
785,NA
786,NA
787,African American
788,NA
789,African American
790,Latinx
791,African American
792,NA
793,NA
794,NA
795,NA
796,NA
797,NA
798,African American
799,NA
800,African American
801,African American
802,Caucasian
803,NA
804,Latinx
805,African American
806,African American
807,African American
808,Caucasian
809,Caucasian
810,African American
811,African American
812,African American
813,African American
814,African American
815,African American
816,African American
817,African American
818,African American
819,NA
820,African American
821,African American
822,African American
823,Caucasian
824,African American
825,African American
826,African American
827,African American
828,Latinx
829,African American
830,African American
831,African American
832,NA
833,NA
834,NA
835,African American
836,African American
837,NA
838,African American
839,Caucasian
840,African American
841,Caucasian
842,African American
843,African American
844,African American
845,NA
846,NA
847,African American
848,African American
849,African American
850,African American
851,African American
852,African American
853,African American
854,Latinx
855,African American
856,African American
857,NA
858,African American
859,African American
860,African American
861,NA
862,Caucasian
863,African American
864,NA
865,African American
866,African American
867,African American
868,NA
869,African American
870,African American
871,Other
872,Caucasian
873,NA
874,Caucasian
875,Other
876,NA
877,NA
878,NA
879,NA
880,Caucasian
881,NA
882,African American
883,African American
884,African American
885,NA
886,NA
887,African American
888,African American
889,African American
890,African American
10177,African American
892,African American
893,African American
894,African American
895,African American
896,African American
897,African American
898,African American
899,African American
900,African American
901,African American
902,Caucasian
903,African American
904,NA
905,African American
906,African American
907,NA
908,African American
909,NA
910,African American
911,Caucasian
912,Caucasian
913,Caucasian
914,African American
915,African American
916,NA
917,African American
918,NA
919,African American
920,NA
921,African American
922,African American
923,African American
924,African American
925,African American
926,African American
927,NA
928,Caucasian
929,African American
930,Latinx
931,NA
932,African American
933,NA
934,African American
935,African American
936,African American
937,African American
938,African American
10184,Caucasian
940,African American
941,African American
942,NA
943,African American
944,NA
945,African American
946,African American
947,Caucasian
948,African American
949,Latinx
950,African American
951,African American
952,African American
953,African American
954,Other
955,NA
956,African American
957,NA
958,African American
959,African American
960,African American
961,African American
962,African American
963,African American
964,Other
965,African American
966,African American
967,African American
968,African American
969,Caucasian
970,NA
971,Caucasian
972,Caucasian
973,African American
974,NA
975,African American
976,Caucasian
977,Caucasian
978,African American
979,African American
980,NA
981,African American
982,African American
983,Other
984,African American
985,African American
986,African American
987,African American
988,African American
989,African American
990,African American
991,Caucasian
992,African American
993,African American
994,African American
995,NA
996,African American
10019,Caucasian
998,African American
10100,African American
10153,African American
10023,African American
10033,African American
1003,NA
10001,African American
1005,NA
10107,African American
10187,African American
1008,NA
1009,NA
1010,NA
1011,African American
1012,NA
10014,African American
10136,African American
1015,NA
10137,NA
10018,African American
1018,NA
1019,Latinx
1020,NA
10148,African American
1022,African American
1023,NA
1024,NA
1025,African American
10128,African American
1027,African American
1028,African American
10115,African American
10021,African American
1031,NA
10185,African American
10013,Other
10237,Caucasian
1035,African American
10047,African American
1037,NA
10064,African American
1039,NA
10015,African American
1041,Caucasian
10011,African American
1043,NA
10152,African American
1045,African American
1046,Caucasian
10034,African American
1048,NA
10050,African American
1050,NA
1051,African American
10165,Latinx
1053,NA
1054,Latinx
10089,African American
1056,NA
10055,African American
1058,Other
1059,Caucasian
10032,African American
1061,NA
10039,Caucasian
1063,African American
10012,African American
10063,African American
1066,NA
10170,Latinx
10084,African American
10046,African American
10027,Other
1071,Caucasian
1072,African American
1073,Other
1074,African American
10009,African American
1076,NA
1077,NA
10083,African American
10085,African American
1080,NA
10077,African American
10004,African American
10104,Caucasian
10081,African American
10054,African American
10076,African American
10036,African American
10078,African American
10088,African American
10030,African American
1091,African American
10005,African American
10114,African American
1094,NA
1095,African American
1096,NA
1097,NA
10090,African American
1099,African American
10164,Other
1101,Caucasian
10048,African American
10190,NA
1104,Other
1105,Other
1106,NA
10010,Latinx
1108,Latinx
10201,African American
1110,African American
1111,African American
10154,African American
10003,African American
1114,NA
1115,NA
10075,African American
10176,Latinx
10038,African American
10053,African American
1120,NA
10116,African American
1122,NA
1123,NA
10236,African American
1125,NA
10096,African American
10043,Caucasian
1128,African American
10127,African American
10173,African American
10074,African American
1132,NA
1133,African American
1134,African American
1135,African American
10210,African American
10024,African American
1138,NA
1139,African American
10022,Latinx
1141,African American
1142,NA
1143,African American
10026,African American
10188,African American
1146,African American
1147,African American
1148,African American
1149,African American
10007,African American
1151,NA
1152,NA
10079,African American
10159,African American
1155,African American
1156,African American
10131,African American
10218,NA
10120,African American
1160,NA
1161,African American
10125,African American
1163,Caucasian
1164,NA
10008,African American
1166,NA
10146,African American
1168,NA
1169,NA
10130,African American
1171,Caucasian
10052,African American
1173,NA
1174,NA
1175,African American
1176,NA
1177,African American
10141,African American
1179,NA
10095,African American
10045,African American
10037,African American
1183,African American
1184,African American
1185,NA
10144,African American
1187,African American
1188,African American
10109,African American
10183,African American
1191,African American
1192,NA
1193,African American
1194,African American
10031,African American
10178,African American
10151,Caucasian
10042,African American
1199,African American
1200,NA
1201,NA
10117,African American
10099,African American
1204,African American
10020,African American
10069,African American
10145,African American
1208,NA
10066,African American
10025,African American
10110,African American
10056,African American
1213,African American
1214,African American
1215,NA
10098,African American
10057,Caucasian
10006,African American
1219,NA
10126,African American
1221,NA
10162,Caucasian
1223,NA
10073,African American
10189,African American
10060,African American
10062,Caucasian
10142,African American
1229,NA
1230,African American
10101,African American
10065,African American
10061,African American
10103,African American
1235,NA
1236,African American
1237,African American
1238,African American
10051,African American
1240,African American
1241,NA
1242,African American
1243,NA
1244,African American
10213,NA
10093,African American
10092,African American
1248,NA
10149,African American
10041,Caucasian
10169,African American
1252,African American
10070,Caucasian
1254,NA
1255,African American
1256,African American
1257,African American
1258,NA
1259,NA
1260,African American
1261,African American
1262,African American
10059,African American
1264,African American
1265,NA
1266,African American
10068,African American
1268,African American
1269,NA
10058,African American
1271,African American
1272,NA
1273,African American
1274,NA
10168,NA
1276,African American
10035,African American
1278,African American
10172,African American
10186,African American
1281,NA
10016,African American
10002,African American
10040,African American
10080,African American
10071,African American
10191,African American
1288,African American
1289,African American
1290,African American
1291,NA
10028,African American
1293,NA
10086,African American
10017,Latinx
10067,African American
1297,African American
1298,NA
1299,African American
1300,NA
10049,African American
10072,African American
1303,NA
1304,Latinx
1305,NA
1306,Latinx
1307,Latinx
10155,Latinx
1309,Latinx
10121,African American
10087,African American
10029,African American
10044,African American
10082,African American
1315,NA
1316,Caucasian
1317,African American
1318,African American
1319,NA
1320,African American
1321,African American
1322,African American
1323,African American
1324,Latinx
1325,African American
1326,NA
1327,NA
1328,NA
1329,Latinx
1330,NA
1331,African American
1332,African American
1333,African American
1334,NA
1335,African American
1336,African American
1337,NA
1338,African American
1339,African American
1340,NA
1341,African American
1342,African American
1343,African American
1344,African American
1345,NA
1346,Latinx
1347,NA
1348,African American
1349,African American
1350,Other
1351,Latinx
1352,NA
1353,African American
1354,NA
1355,African American
1356,African American
1357,African American
1358,African American
1359,African American
1360,NA
1361,NA
1362,NA
1363,NA
1364,African American
1365,Latinx
1366,African American
1367,NA
1368,Latinx
1369,Latinx
1370,Latinx
1371,NA
1372,NA
1373,NA
1374,NA
1375,Caucasian
1376,African American
1377,Latinx
1378,African American
1379,Latinx
1380,African American
1381,NA
1382,NA
1383,African American
1384,Latinx
1385,African American
1386,Latinx
1387,Latinx
1388,Latinx
1389,NA
1390,African American
1391,NA
1392,African American
1393,Latinx
1394,Latinx
1395,NA
1396,Latinx
1397,Latinx
1398,Latinx
1399,NA
1400,Latinx
1401,Latinx
1402,Latinx
1403,African American
1404,NA
1405,Other
1406,Latinx
1407,NA
1408,Latinx
1409,Latinx
1410,African American
1411,Latinx
1412,NA
1413,Caucasian
1414,NA
1415,NA
1416,NA
1417,Caucasian
1418,African American
1419,African American
1420,NA
1421,Latinx
1422,African American
1423,NA
1424,African American
1425,NA
1426,African American
1427,Latinx
1428,African American
1429,NA
1430,African American
1431,Latinx
1432,Latinx
1433,NA
1434,NA
1435,Latinx
1436,NA
1437,African American
1438,African American
1439,African American
1440,African American
1441,Caucasian
1442,African American
1443,African American
1444,NA
1445,NA
1446,Latinx
1447,Latinx
1448,Latinx
1449,Latinx
1450,Latinx
1451,African American
1452,Caucasian
1453,African American
1454,Latinx
1455,Latinx
1456,Latinx
1457,Latinx
1458,Latinx
1459,Latinx
1460,NA
1461,Latinx
1462,Latinx
1463,Latinx
1464,African American
1465,African American
1466,NA
1467,NA
1468,African American
1469,African American
1470,African American
1471,African American
1472,NA
1473,NA
1474,NA
1475,African American
1476,African American
1477,NA
1478,African American
1479,NA
1480,NA
1481,African American
1482,African American
1483,NA
1484,Latinx
1485,NA
1486,NA
1487,African American
1488,NA
1489,African American
1490,African American
1491,NA
1492,NA
1493,African American
1494,African American
1495,NA
1496,NA
1497,African American
1498,NA
1499,Latinx
1500,NA
1501,African American
1502,NA
1503,African American
1504,NA
1505,African American
1506,NA
1507,African American
1508,Latinx
1509,African American
1510,NA
1511,African American
1512,African American
1513,African American
1514,NA
1515,NA
1516,NA
1517,African American
1518,African American
1519,NA
1520,NA
1521,NA
1522,African American
1523,NA
1524,Other
1525,African American
1526,NA
1527,Latinx
1528,Latinx
1529,NA
1530,NA
1531,NA
1532,African American
1533,Latinx
1534,Latinx
1535,African American
1536,NA
1537,African American
1538,African American
1539,NA
1540,Other
1541,African American
1542,Latinx
1543,African American
1544,NA
1545,NA
1546,NA
1547,NA
1548,African American
1549,Latinx
1550,Other
1551,African American
1552,African American
1553,African American
1554,NA
1555,African American
1556,NA
1557,NA
1558,African American
1559,African American
1560,NA
1561,African American
1562,NA
1563,NA
1564,NA
1565,Latinx
1566,African American
1567,African American
1568,African American
1569,African American
1570,NA
1571,African American
1572,Other
1573,African American
1574,NA
1575,NA
1576,African American
1577,African American
1578,African American
1579,Other
1580,African American
1581,NA
1582,African American
1583,African American
1584,NA
1585,NA
1586,African American
1587,African American
1588,African American
1589,African American
1590,NA
1591,African American
1592,African American
1593,NA
1594,African American
1595,NA
1596,Latinx
1597,Latinx
1598,African American
1599,Latinx
1600,NA
1601,African American
